# Prim/Sec, RegionCode, ShortCode, Primary Name, Secondary Name, ...
#
# edge cases and exceptions:
#
# Rainy River - the airport has no IATA or ICAO code, so use Canadian code
# Busingen - too small to have any airport of any kind, so use BUSI
# Palestine - use closed/abandoned airports
# Ulan Batur - use an airport still under construction


P,CN,URC,Asia/Urumqi
P,CO,CO,America/Bogota
P,CR,CR,America/Costa_Rica
P,CU,CU,America/Havana,Cuba
P,CV,CV,Atlantic/Cape_Verde
P,CW,CW,America/Curacao
P,CX,CX,Indian/Christmas
P,CY,ECN,Asia/Famagusta
P,CY,LCA,Asia/Nicosia,Europe/Nicosia
P,CZ,CZ,Europe/Prague
P,DE,DE,Europe/Berlin
P,DE,BUSI,Europe/Busingen
P,DJ,DJ,Africa/Djibouti
P,DK,DK,Europe/Copenhagen
P,DM,DM,America/Dominica
P,DO,DO,America/Santo_Domingo
P,DZ,DZ,Africa/Algiers
P,EC,EC,America/Guayaquil
P,EC,GPS,Pacific/Galapagos
P,EE,EE,Europe/Tallinn
P,EG,EG,Africa/Cairo
P,EH,EH,Africa/El_Aaiun
P,ER,ER,Africa/Asmara
P,ES,JCU,Africa/Ceuta
P,ES,LPA,Atlantic/Canary
P,ES,ES,Europe/Madrid
P,ET,ET,Africa/Addis_Ababa
P,FI,FI,Europe/Helsinki
P,FJ,FJ,Pacific/Fiji
P,FK,FK,Atlantic/Stanley
P,FM,TKK,Pacific/Chuuk,Pacific/Yap,Pacific/Truk
P,FM,PNI,Pacific/Pohnpei,Pacific/Ponape
P,FM,KSA,Pacific/Kosrae
P,FO,FO,Atlantic/Faroe,Atlantic/Faeroe
P,FR,FR,Europe/Paris
P,GA,GA,Africa/Libreville
P,GB,GB,Europe/London
P,GD,GD,America/Grenada
P,GE,GE,Asia/Tbilisi
P,GF,GF,America/Cayenne
P,GG,GG,Europe/Guernsey
P,GH,GH,Africa/Accra
P,GI,GI,Europe/Gibraltar
P,GL,BGDH,America/Danmarkshavn
P,GL,CNP,America/Scoresbysund
P,GL,GL,America/Godthab
P,GL,THU,America/Thule
P,GM,GM,Africa/Banjul
P,GN,GN,Africa/Conakry
P,GP,GP,America/Guadeloupe
P,GQ,GQ,Africa/Malabo
P,GR,GR,Europe/Athens
P,GS,GS,Atlantic/South_Georgia
P,GT,GT,America/Guatemala
P,GU,GU,Pacific/Guam
P,GW,GW,Africa/Bissau
P,GY,GY,America/Guyana
P,HK,HK,Asia/Hong_Kong,Hongkong
P,HN,HN,America/Tegucigalpa
P,HR,HR,Europe/Zagreb
P,HT,HT,America/Port-au-Prince
P,HU,HU,Europe/Budapest
P,ID,CGK,Asia/Jakarta
P,ID,DJJ,Asia/Jayapura
P,ID,UPG,Asia/Makassar,Asia/Ujung_Pandang
P,ID,PNK,Asia/Pontianak
P,IE,IE,Europe/Dublin,Eire
P,IL,IL,Asia/Jerusalem,Asia/Tel_Aviv,Israel
P,IM,IM,Europe/Isle_of_Man
P,IN,IN,Asia/Kolkata,Asia/Calcutta
P,IO,IO,Indian/Chagos
P,IQ,IQ,Asia/Baghdad
P,IR,IR,Asia/Tehran,Iran
P,IS,IS,Atlantic/Reykjavik,Iceland
P,IT,IT,Europe/Rome
P,JE,JE,Europe/Jersey
P,JM,JM,America/Jamaica,Jamaica
P,JO,JO,Asia/Amman
P,JP,JP,Asia/Tokyo,Japan
P,KE,KE,Africa/Nairobi
P,KG,KG,Asia/Bishkek
P,KH,KH,Asia/Phnom_Penh
P,KI,CIS,Pacific/Enderbury
P,KI,CXI,Pacific/Kiritimati
P,KI,TRW,Pacific/Tarawa
P,KM,KM,Indian/Comoro
P,KN,KN,America/St_Kitts
P,KP,KP,Asia/Pyongyang
P,KR,KR,Asia/Seoul,ROK
P,KW,KW,Asia/Kuwait
P,KY,KY,America/Cayman
P,KZ,ALA,Asia/Almaty
P,KZ,SCO,Asia/Aqtau
P,KZ,AKX,Asia/Aqtobe
P,KZ,GUW,Asia/Atyrau
P,KZ,URA,Asia/Oral
P,KZ,KZO,Asia/Qyzylorda
P,LA,LA,Asia/Vientiane
P,LB,LB,Asia/Beirut
P,LC,LC,America/St_Lucia
P,LI,LI,Europe/Vaduz
P,LK,LK,Asia/Colombo
P,LR,LR,Africa/Monrovia
P,LS,LS,Africa/Maseru
P,LT,LT,Europe/Vilnius
P,LU,LU,Europe/Luxembourg
P,LV,LV,Europe/Riga
P,LY,LY,Africa/Tripoli,Libya
P,MA,MA,Africa/Casablanca
P,MC,MC,Europe/Monaco
P,MD,LUTR,Europe/Tiraspol
P,MD,MD,Europe/Chisinau
P,ME,ME,Europe/Podgorica
P,MF,MF,America/Marigot
P,MG,MG,Indian/Antananarivo
P,MH,KWA,Pacific/Kwajalein,Kwajalein
P,MH,MH,Pacific/Majuro
P,MK,MK,Europe/Skopje
P,ML,ML,Africa/Bamako
P,MM,MM,Asia/Yangon,Asia/Rangoon
P,MN,COQ,Asia/Choibalsan
P,MN,HVD,Asia/Hovd
P,MN,UBN,Asia/Ulaanbaatar,Asia/Ulan_Bator
P,MO,MO,Asia/Macau,Asia/Macao
P,MP,MP,Pacific/Saipan
P,MQ,MQ,America/Martinique
P,MR,MR,Africa/Nouakchott
P,MS,MS,America/Montserrat
P,MT,MT,Europe/Malta
P,MU,MU,Indian/Mauritius
P,MV,MV,Indian/Maldives
P,MW,MW,Africa/Blantyre
P,MX,PVR,America/Bahia_Banderas
P,MX,CUN,America/Cancun
P,MX,CUU,America/Chihuahua
P,MX,HMO,America/Hermosillo
P,MX,MAM,America/Matamoros
